Window length,Candidate queries,R@1 (%),R@5 (%),R@10 (%),mAP (%),Normalized rank gain (%)
1,2331,0.0501,0.2109,0.4183,0.3938,6.69
3,2307,0.0397,0.2492,0.484,0.4063,7.84
5,2283,0.0657,0.2446,0.4453,0.4153,8.05
9,2235,0.0522,0.2051,0.4288,0.4018,7.71
