Map scale,R@1 (%),R@5 (%),R@10 (%),mAP (%)
700,0.09,0.47,0.73,0.6
800,0.09,0.26,0.39,0.46
900,0.09,0.3,0.69,0.49
1000,0.0,0.04,0.3,0.32
1100,0.0,0.13,0.17,0.36
1200,0.0,0.09,0.17,0.28
1300,0.09,0.21,0.39,0.4
1400,0.09,0.26,0.6,0.41
1500,0.09,0.21,0.39,0.38
1600,0.0,0.13,0.43,0.29
1700,0.09,0.26,0.43,0.4
1800,0.0,0.17,0.34,0.34
