Direction,Provenance,R@1 (%),R@5 (%),R@10 (%),AP / mAP (%)
Drone → Satellite,PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,93.89,98.02,98.57,94.84
Satellite → Drone,PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,95.72,97.15,97.4,92.6
