Nominal folder label,R@1 (%),R@5 (%),R@10 (%),mAP (%),Mean positive rank
150,93.35,99.95,100.0,96.19,1.103
200,94.55,100.0,100.0,96.89,1.083
250,95.45,100.0,100.0,97.33,1.077
300,94.95,100.0,100.0,97.29,1.066
