Stride,Selected queries,Processing fraction (%),Processing reduction (%),R@1 (%),R@5 (%),R@10 (%),mAP (%)
1,2331,100.0,0.0,0.0501,0.2109,0.4183,0.3938
2,1167,50.06,49.94,0.05,0.2214,0.4142,0.3906
5,468,20.08,79.92,0.0534,0.1781,0.3561,0.3846
10,234,10.04,89.96,0.0356,0.1781,0.3205,0.361
