Model,Provenance,R@1,R@5,R@10,mAP,Mean positive rank
AdvancedEdgeGeoLPN local,LOCAL_REIMPLEMENTATION,94.58,99.99,100.0,96.93,1.082
Sample4Geo zero-shot,ZERO_SHOT_TRANSFER_FROM_UNIVERSITY1652_CHECKPOINT,85.9,98.74,99.78,91.79,1.274
