stride,selected_query_count,query_processing_fraction,query_processing_reduction_fraction,macro_R@1,macro_R@5,macro_R@10,macro_mAP,macro_mean_positive_rank,actual_inference_timing_measured,retrieval_metric_status
1,2331,1.0,0.0,0.0005005005005005005,0.0021092521092521094,0.004182754182754183,0.003937865287340886,1088.0505148005147,False,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE
2,1167,0.5006435006435006,0.4993564993564994,0.000499857183661811,0.002213653241930877,0.004141673807483576,0.0039062236417122163,1085.6243216223936,False,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE
5,468,0.20077220077220076,0.7992277992277992,0.0005341880341880342,0.0017806267806267807,0.003561253561253561,0.0038460484617077657,1091.9118589743591,False,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE
10,234,0.10038610038610038,0.8996138996138996,0.00035612535612535614,0.0017806267806267807,0.0032051282051282055,0.0036102301637373872,1102.161680911681,False,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE
