window_length,map_size,candidate_window_count,aggregation,R@1,R@5,R@10,mAP,mean_positive_rank,median_positive_rank,max_positive_rank,top1_failure_count,chance_R@1,chance_R@5,chance_R@10,chance_expected_mAP,chance_mean_rank,mAP_excess_over_chance,normalized_rank_gain,similarity_seconds,full_sort_seconds,search_seconds,search_timing_scope,retrieval_metric_status,verified_uav_pose
1,1700,2331,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.000858000858000858,0.002574002574002574,0.00429000429000429,0.003955745696323574,1144.6074646074646,1144.0,2330,2329,0.000429000429000429,0.002145002145002145,0.00429000429000429,0.0035742096906113295,1166.0,0.00038153600571224494,0.018362691324064692,0.009182297999814182,0.09353463200000078,0.10271692999981497,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
1,1800,2331,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.001716001716001716,0.003432003432003432,0.003363633734993074,1135.984555984556,1123.0,2323,2331,0.000429000429000429,0.002145002145002145,0.00429000429000429,0.0035742096906113295,1166.0,-0.00021057595561825527,0.025764329626990573,0.009136504000025525,0.12321808999990935,0.13235459399993488,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,700,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0008669267446900737,0.005201560468140442,0.00953619419159081,0.006985094819120659,907.7984395318596,801.0,2306,2305,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,0.003378187303254201,0.21353127534097174,0.009214485000029526,0.08921617900000456,0.09843066400003408,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,800,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.00043346337234503684,0.003034243606415258,0.005201560468140442,0.004912547463926887,963.7251842219332,908.0,2301,2306,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,0.0013056399480604291,0.1650258593044812,0.009128078999992795,0.0849540409999463,0.0940821199999391,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,900,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0008669267446900737,0.0039011703511053317,0.006501950585175552,0.005210855293067998,1007.7546597312527,963.0,2304,2305,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,0.0016039477772015402,0.1268389768159127,0.009103791999905297,0.08956441200007248,0.09866820399997778,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1000,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.00043346337234503684,0.002167316861725184,0.002969968064529399,1035.380580840919,977.0,2307,2307,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,-0.0006369394513370589,0.10287894116138852,0.009123175000013362,0.08334973999990325,0.09247291499991661,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1100,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.00043346337234503684,0.00043346337234503684,0.0034677069787602947,0.003514367607754807,1036.2241005635024,998.0,2305,2306,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,-9.253990811165097e-05,0.10214735423807254,0.009125827000161735,0.0864015740000923,0.09552740100025403,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1200,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.00043346337234503684,0.0017338534893801473,0.002517404291364151,1105.4993498049414,1112.0,2307,2307,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,-0.0010895032245023068,0.0420647443148817,0.009203889999980674,0.12895262300003196,0.13815651300001264,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1300,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0008669267446900737,0.004334633723450368,0.006068487212830516,0.0045007741722342546,1115.868227134807,1084.0,2307,2305,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,0.0008938666563677966,0.03307178912852814,0.010013004000029468,0.10168319299987161,0.11169619699990108,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1400,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.00043346337234503684,0.003034243606415258,0.0039011703511053317,0.0039548373640039495,1146.0632856523623,1132.0,2307,2306,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,0.0003479298481374915,0.006883533692660615,0.009222594999982903,0.13372142000002896,0.14294401500001186,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1500,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.0017338534893801473,0.0034677069787602947,0.003238586871484447,1084.4117902037278,1051.0,2307,2307,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,-0.00036832064438201096,0.060354041453835355,0.009191772000122,0.11890812299998288,0.12809989500010488,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1600,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.00043346337234503684,0.002167316861725184,0.002476521983951952,1113.032509752926,1057.0,2307,2307,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,-0.0011303855319145062,0.035531214438052044,0.009197867000011684,0.1011102770000889,0.11030814400010058,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1700,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.00043346337234503684,0.0034677069787602947,0.006501950585175552,0.004292190087310716,1127.0407455570005,1112.0,2307,2306,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,0.0006852825714442584,0.023381833862098446,0.009179506000009496,0.10393074200010233,0.11311024800011182,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
3,1800,2307,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.00043346337234503684,0.0034677069787602947,0.007368877329865626,0.004184517131980683,1120.201127004768,1119.0,2299,2306,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,0.0005776096161142249,0.02931385342171026,0.009281333999979324,0.14056762900008835,0.14984896300006767,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,700,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0004380201489268506,0.004380201489268506,0.010512483574244415,0.006499397063458594,882.3123083661849,770.0,2273,2282,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,0.0028591516383524532,0.2275965746133349,0.008808047999991686,0.13977828000020054,0.14858632800019222,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,800,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0,0.0030661410424879547,0.005256241787122208,0.004507769935956734,944.484888304862,887.0,2278,2283,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,0.0008675245108505933,0.1731070216434163,0.008740304999946602,0.09603191900009733,0.10477222400004393,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,900,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0008760402978537013,0.0030661410424879547,0.005256241787122208,0.004728456841836381,986.5111695137977,931.0,2274,2281,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,0.0010882114167302401,0.1362741722052606,0.008734674999914205,0.10936383800003568,0.11809851299994989,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
5,1000,2283,ARITHMETIC_MEAN_THEN_L2_NORMALIZE,0.0004380201489268506,0.001314060446780552,0.002628120893561104,0.003270329018667526,1024.982041173894,965.0,2281,2282,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,-0.0003699164064386146,0.10255736969860298,0.008723230999976295,0.12109362499995768,0.12981685599993398,WINDOW_DESCRIPTOR_SIMILARITY_PLUS_FULL_SORT_DESCRIPTOR_EXTRACTION_EXCLUDED,DESCRIPTIVE_ORDERED_WINDOW_RETRIEVAL,False
