window_length,candidate_window_count,macro_R@1,macro_R@5,macro_R@10,macro_mAP,macro_mean_positive_rank,chance_R@1,chance_R@5,chance_R@10,chance_expected_mAP,chance_mean_rank,macro_mAP_excess_over_chance,macro_normalized_rank_gain,total_search_seconds_12_scales
1,2331,0.0005005005005005005,0.0021092521092521094,0.004182754182754183,0.003937865156302415,1088.050479050479,0.000429000429000429,0.002145002145002145,0.00429000429000429,0.0035742096906113295,1166.0,0.0003636554656910867,0.06690946004250724,1.3336199339994437
3,2307,0.0003973414246496171,0.002492414390983962,0.004840340991186245,0.004063138762560825,1063.5833333333335,0.00043346337234503684,0.002167316861725184,0.004334633723450368,0.003606907515866458,1154.0,0.00045623124669436744,0.07841861809771611,1.3733452790004321
5,2283,0.0006570302233902761,0.002445612498174916,0.004453204847422981,0.0041531140061487224,1050.138815885531,0.0004380201489268506,0.002190100744634253,0.004380201489268506,0.0036402454251061407,1142.0,0.0005128685810425817,0.08050936381636219,1.3349426270003732
9,2235,0.0005219985085756898,0.0020507084265473526,0.004287844891871737,0.004017831557404126,1031.893325876212,0.00044742729306487697,0.0022371364653243847,0.0044742729306487695,0.003708919851862701,1118.0,0.00030891170554142523,0.07708744326212014,1.141941974999554
