stride,map_size,selected_query_count,full_query_count,query_processing_fraction,query_processing_reduction_fraction,R@1,R@5,R@10,mAP,mean_positive_rank,retrieval_metric_status,stride_semantics
2,1600,1167,2331,0.5006435006435006,0.4993564993564994,0.0,0.001713796058269066,0.004284490145672665,0.002788616405806107,1133.5321336760926,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
2,1700,1167,2331,0.5006435006435006,0.4993564993564994,0.001713796058269066,0.002570694087403599,0.004284490145672665,0.004403105276575397,1136.3718937446445,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
2,1800,1167,2331,0.5006435006435006,0.4993564993564994,0.0,0.000856898029134533,0.002570694087403599,0.0030262808246012407,1135.8508997429306,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,700,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.002136752136752137,0.002136752136752137,0.0048631796461233055,926.508547008547,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,800,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.0,0.0,0.0034243569619664296,983.8568376068376,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,900,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.004273504273504274,0.008547008547008548,0.0050417776644757495,1011.2970085470085,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1000,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.0,0.002136752136752137,0.0026562364060321313,1051.826923076923,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1100,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.0,0.0,0.0027522630185415186,1074.0277777777778,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1200,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.0,0.002136752136752137,0.0024498232684699276,1154.4252136752136,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1300,468,2331,0.20077220077220076,0.7992277992277992,0.002136752136752137,0.002136752136752137,0.002136752136752137,0.0047391129549471485,1134.0213675213674,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1400,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.0,0.008547008547008548,0.0030987858197847862,1173.6858974358975,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1500,468,2331,0.20077220077220076,0.7992277992277992,0.002136752136752137,0.002136752136752137,0.004273504273504274,0.004733408572605092,1141.3461538461538,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1600,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.004273504273504274,0.00641025641025641,0.003758841552807818,1125.9636752136753,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1700,468,2331,0.20077220077220076,0.7992277992277992,0.002136752136752137,0.002136752136752137,0.002136752136752137,0.004369211230070716,1178.9978632478633,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
5,1800,468,2331,0.20077220077220076,0.7992277992277992,0.0,0.004273504273504274,0.004273504273504274,0.004265584444668568,1146.9850427350427,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,700,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.004273504273504274,0.004273504273504274,0.006077745504758076,901.7051282051282,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,800,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.0,0.0,0.0036003301863480252,944.4957264957264,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,900,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.004273504273504274,0.008547008547008548,0.004328496992536158,1025.051282051282,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1000,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.0,0.004273504273504274,0.0032379658148527267,1018.1965811965812,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1100,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.0,0.0,0.002704689043914715,1121.0555555555557,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1200,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.0,0.004273504273504274,0.002546026363662972,1170.2863247863247,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1300,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.0,0.0,0.0027770145327479976,1114.6068376068376,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1400,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.0,0.004273504273504274,0.0023482256796809454,1226.820512820513,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1500,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.0,0.0,0.0021717777312103195,1194.7051282051282,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1600,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.008547008547008548,0.008547008547008548,0.003956582064219038,1140.3931623931624,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1700,234,2331,0.10038610038610038,0.8996138996138996,0.004273504273504274,0.004273504273504274,0.004273504273504274,0.0065800625935003975,1171.5982905982905,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
10,1800,234,2331,0.10038610038610038,0.8996138996138996,0.0,0.0,0.0,0.002993845457417275,1197.025641025641,DESCRIPTIVE_ONLY_CLEAN_BASELINE_NEAR_CHANCE,DATASET_ORDER_SUBSAMPLING_NOT_VERIFIED_TIME_INTERVAL
