model,provenance,dataset_split,r1,r5,r10,ap,map,out_of_map_far,batch1_p50_ms,p95_ms,peak_ram_mb,peak_gpu_memory_mb,descriptor_dimension,index_size_bytes,license_status
AdvancedEdgeGeoLPN_LOCAL_REIMPLEMENTATION,LOCAL_REIMPLEMENTATION,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,2048,TBD,TBD
Sample4Geo,OFFICIAL_CHECKPOINT_BASELINE,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD
UltraVPR,OFFICIAL_CHECKPOINT,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,MIT
MobileGeo,UNRESOLVED_PENDING_RELEASE_AUDIT,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,UNRESOLVED
