condition,family,severity,descriptor_cosine_mean,descriptor_cosine_p05,descriptor_l2_drift_mean,macro_top1_identity_stability,macro_positive_rank_drift_mean,macro_positive_rank_absolute_drift_mean,macro_rank_improved_fraction,macro_rank_worsened_fraction,macro_margin_drift_mean,descriptive_macro_R@1,descriptive_macro_R@5,descriptive_macro_R@10,descriptive_macro_mAP,accuracy_degradation_primary_claim_allowed
brightness_mild,brightness,1,0.6741021871566772,0.14065273106098175,0.7298699617385864,0.1753181753181753,53.90343915343916,358.3666166166167,0.47232947232947237,0.5258115258115259,-0.00021146745892442192,0.000429000429000429,0.001859001859001859,0.004182754182754183,0.003468696589581473,False
brightness_strong,brightness,2,0.24926768243312836,-0.08057782799005508,1.2085727453231812,0.022880022880022877,52.956599456599456,574.4058344058345,0.48176748176748174,0.5174817674817676,-0.002219279531924009,0.0005005005005005004,0.0022880022880022877,0.004111254111254111,0.003647491277949772,False
contrast_mild,contrast,1,0.8982828259468079,0.6018420457839966,0.39896532893180847,0.36761761761761763,3.8374445874445873,197.85689260689261,0.49724724724724734,0.4978907478907479,-0.00012707054601298525,0.0005005005005005004,0.0022880022880022877,0.00454025454025454,0.003923754591429132,False
contrast_strong,contrast,2,0.7528573870658875,0.5286749601364136,0.6812310814857483,0.14074789074789074,34.1524739024739,349.1416058916059,0.48684398684398683,0.511082511082511,-0.001132159190780831,0.000429000429000429,0.0020020020020020016,0.0043257543257543265,0.00364868848225009,False
blur_mild,gaussian_blur,1,0.6566082239151001,0.3802204728126526,0.8085525631904602,0.1350993850993851,31.105212355212355,358.1672744172744,0.46603746603746604,0.532032032032032,0.0006822531058466953,0.0004647504647504648,0.0024667524667524665,0.005040755040755042,0.003988899775370704,False
blur_strong,gaussian_blur,2,0.38188305497169495,0.06287480145692825,1.0941897630691528,0.054947804947804955,58.53428428428429,481.1554054054054,0.4637852137852138,0.535106535106535,0.0008501452910232885,0.00032175032175032174,0.0015730015730015727,0.0038252538252538256,0.003387508690013434,False
noise_mild,gaussian_noise,1,0.94024658203125,0.8226500153541565,0.31339776515960693,0.4565279565279565,23.881703131703134,142.68665093665092,0.45273845273845276,0.5410767910767912,0.0004378550828244691,0.0006792506792506792,0.0025740025740025744,0.004397254397254397,0.004087274527115304,False
noise_strong,gaussian_noise,2,0.7594296336174011,0.45821958780288696,0.6624742746353149,0.1782139282139282,56.48666523666524,309.48766623766625,0.4569212069212069,0.5402187902187902,0.0006752090518153272,0.0006435006435006434,0.002359502359502359,0.005112255112255112,0.003901016659300358,False
jpeg_mild,jpeg,1,0.9438198208808899,0.86835116147995,0.3177345097064972,0.47583297583297596,-1.9400114400114405,135.59795509795507,0.5112255112255113,0.4815172315172315,-0.0007814436275101313,0.0005362505362505362,0.002037752037752038,0.004397254397254397,0.003974161486137601,False
jpeg_strong,jpeg,2,0.8203787207603455,0.6266819834709167,0.5769218802452087,0.2284069784069784,-25.614400114400116,250.53110253110253,0.535964535964536,0.4607464607464608,-0.001746281963788606,0.000429000429000429,0.0026455026455026454,0.005005005005005004,0.004175126700613614,False
