condition,family,severity,map_size,query_count,top1_identity_stability,positive_rank_drift_mean,positive_rank_drift_median,positive_rank_absolute_drift_mean,positive_rank_absolute_drift_median,rank_improved_fraction,rank_worsened_fraction,rank_unchanged_fraction,clean_margin_mean,corrupted_margin_mean,margin_drift_mean,descriptive_R@1,descriptive_R@5,descriptive_R@10,descriptive_mAP,accuracy_degradation_claim_allowed
blur_mild,gaussian_blur,1,700,2331,0.09867009867009867,40.25911625911626,26.0,362.25911625911624,246.0,0.4517374517374517,0.5474045474045474,0.000858000858000858,0.01665912632495224,0.01953996904194355,0.002880842222363534,0.001287001287001287,0.003861003861003861,0.009438009438009438,0.00614111644197826,False
blur_mild,gaussian_blur,1,800,2331,0.12012012012012012,53.53839553839554,34.0,357.27498927498925,238.0,0.4491634491634492,0.5452595452595452,0.005577005577005577,0.017085216661370965,0.017558744177222252,0.00047352720181458865,0.000429000429000429,0.003861003861003861,0.007293007293007293,0.004776375455341412,False
blur_mild,gaussian_blur,1,900,2331,0.15444015444015444,53.21964821964822,38.0,348.6988416988417,239.0,0.44315744315744315,0.5546975546975547,0.002145002145002145,0.017023764438815255,0.021621517837047577,0.004597751023379733,0.000429000429000429,0.003003003003003003,0.003861003861003861,0.003765426463957556,False
blur_mild,gaussian_blur,1,1000,2331,0.20291720291720292,38.55898755898756,29.0,332.3830973830974,218.0,0.4547404547404547,0.543972543972544,0.001287001287001287,0.022273948185180966,0.022333068773150444,5.912180496156719e-05,0.0,0.000429000429000429,0.002145002145002145,0.003041455725786982,False
blur_mild,gaussian_blur,1,1100,2331,0.2578292578292578,39.02616902616903,29.0,350.12355212355214,245.0,0.4465894465894466,0.54997854997855,0.003432003432003432,0.02192923101564167,0.021832795813679695,-9.643635263079327e-05,0.0,0.000429000429000429,0.001716001716001716,0.0028829778590255106,False
blur_mild,gaussian_blur,1,1200,2331,0.13856713856713856,28.247104247104247,22.0,353.4139854139854,243.0,0.46589446589446587,0.5323895323895323,0.001716001716001716,0.015487217266433746,0.016308268532156944,0.0008210520751867483,0.000429000429000429,0.003003003003003003,0.00429000429000429,0.003670398561650985,False
blur_mild,gaussian_blur,1,1300,2331,0.12998712998713,22.347919347919348,24.0,355.7190047190047,257.0,0.46675246675246673,0.5323895323895323,0.000858000858000858,0.01604784127917729,0.014317706227302551,-0.0017301352052972465,0.0,0.003861003861003861,0.006006006006006006,0.004284892140365657,False
blur_mild,gaussian_blur,1,1400,2331,0.1093951093951094,18.888459888459888,28.0,368.0948090948091,260.0,0.4603174603174603,0.5383955383955384,0.001287001287001287,0.01314678675115922,0.014234106987714767,0.0010873204059595686,0.0,0.001287001287001287,0.003432003432003432,0.0030901290943488543,False
blur_mild,gaussian_blur,1,1500,2331,0.12998712998713,52.62848562848563,32.0,377.9232089232089,269.0,0.4543114543114543,0.5431145431145431,0.002574002574002574,0.016905961362449207,0.017314627766609192,0.00040866504333428934,0.000429000429000429,0.002145002145002145,0.006435006435006435,0.003864721211048463,False
blur_mild,gaussian_blur,1,1600,2331,0.09952809952809953,17.343629343629345,5.0,365.987987987988,264.0,0.49120549120549123,0.5079365079365079,0.000858000858000858,0.015886598435665603,0.019410470500588417,0.003523871985015259,0.0,0.001287001287001287,0.004719004719004719,0.0034079623356163074,False
blur_mild,gaussian_blur,1,1700,2331,0.09438009438009438,-8.12097812097812,-13.0,382.64950664950663,273.0,0.5190905190905191,0.4800514800514801,0.000858000858000858,0.014802112648002227,0.013630879111588001,-0.0011712341808686726,0.000858000858000858,0.003003003003003003,0.006435006435006435,0.0042854989824374305,False
blur_mild,gaussian_blur,1,1800,2331,0.08537108537108537,17.325611325611327,5.0,343.4791934791935,234.0,0.4894894894894895,0.5087945087945088,0.001716001716001716,0.01774312410398143,0.01507581491023302,-0.0026673087530582353,0.001716001716001716,0.003432003432003432,0.004719004719004719,0.00465584303289103,False
blur_strong,gaussian_blur,2,700,2331,0.04676104676104676,122.08065208065209,87.0,490.5156585156585,385.0,0.4191334191334191,0.58000858000858,0.000858000858000858,0.01665912632495224,0.023368922993540764,0.00670979816046261,0.0,0.002574002574002574,0.006006006006006006,0.003795891135180828,False
blur_strong,gaussian_blur,2,800,2331,0.05791505791505792,106.33590733590734,72.0,499.1947661947662,399.0,0.4315744315744316,0.5667095667095667,0.001716001716001716,0.017085216661370965,0.018706241622567177,0.0016210243291274375,0.000429000429000429,0.001716001716001716,0.005148005148005148,0.0037856250881919927,False
blur_strong,gaussian_blur,2,900,2331,0.08923208923208924,91.3985413985414,67.0,494.2479622479622,364.0,0.43843843843843844,0.5594165594165594,0.002145002145002145,0.017023764438815255,0.024231506511569023,0.007207744076036217,0.000429000429000429,0.002145002145002145,0.003861003861003861,0.003692398213937245,False
blur_strong,gaussian_blur,2,1000,2331,0.07464607464607464,86.6044616044616,63.0,459.35263835263834,335.0,0.4337194337194337,0.5641355641355641,0.002145002145002145,0.022273948185180966,0.022636335343122482,0.00036238680794641644,0.000429000429000429,0.000858000858000858,0.003003003003003003,0.002947570286607739,False
blur_strong,gaussian_blur,2,1100,2331,0.16387816387816387,82.61046761046761,57.0,456.8747318747319,341.0,0.4448734448734449,0.5551265551265552,0.0,0.02192923101564167,0.028926972299814224,0.006997738990825672,0.000429000429000429,0.000858000858000858,0.003861003861003861,0.0032847923776651556,False
blur_strong,gaussian_blur,2,1200,2331,0.06048906048906049,35.99013299013299,23.0,467.1003861003861,334.0,0.4697554697554698,0.5302445302445302,0.0,0.015487217266433746,0.01869828812777996,0.0032110711274383782,0.000429000429000429,0.002145002145002145,0.003003003003003003,0.0032827450582654087,False
