location_id,nominal_height,query_count,recall_at_1_percent,recall_at_5_percent,recall_at_10_percent,mean_average_precision_percent,mean_positive_rank
0140,150,50,100.0,100.0,100.0,100.0,1.0
0140,200,50,100.0,100.0,100.0,100.0,1.0
0140,250,50,96.0,100.0,100.0,98.0,1.04
0140,300,50,100.0,100.0,100.0,100.0,1.0
0144,150,50,100.0,100.0,100.0,100.0,1.0
0144,200,50,100.0,100.0,100.0,100.0,1.0
0144,250,50,100.0,100.0,100.0,100.0,1.0
0144,300,50,100.0,100.0,100.0,100.0,1.0
0151,150,50,100.0,100.0,100.0,100.0,1.0
0151,200,50,96.0,100.0,100.0,98.0,1.04
0151,250,50,98.0,100.0,100.0,99.0,1.02
0151,300,50,84.0,100.0,100.0,92.0,1.16
0152,150,50,100.0,100.0,100.0,100.0,1.0
0152,200,50,100.0,100.0,100.0,100.0,1.0
0152,250,50,100.0,100.0,100.0,100.0,1.0
0152,300,50,100.0,100.0,100.0,100.0,1.0
0155,150,50,80.0,100.0,100.0,90.0,1.2
0155,200,50,96.0,100.0,100.0,98.0,1.04
0155,250,50,100.0,100.0,100.0,100.0,1.0
0155,300,50,100.0,100.0,100.0,100.0,1.0
0164,150,50,100.0,100.0,100.0,100.0,1.0
0164,200,50,100.0,100.0,100.0,100.0,1.0
0164,250,50,100.0,100.0,100.0,100.0,1.0
0164,300,50,100.0,100.0,100.0,100.0,1.0
0167,150,50,100.0,100.0,100.0,100.0,1.0
0167,200,50,100.0,100.0,100.0,100.0,1.0
0167,250,50,100.0,100.0,100.0,100.0,1.0
0167,300,50,100.0,100.0,100.0,100.0,1.0
0169,150,50,86.0,98.0,100.0,91.13333333333333,1.34
0169,200,50,98.0,100.0,100.0,98.66666666666667,1.04
0169,250,50,100.0,100.0,100.0,100.0,1.0
0169,300,50,100.0,100.0,100.0,100.0,1.0
0174,150,50,100.0,100.0,100.0,100.0,1.0
0174,200,50,100.0,100.0,100.0,100.0,1.0
0174,250,50,100.0,100.0,100.0,100.0,1.0
0174,300,50,100.0,100.0,100.0,100.0,1.0
0182,150,50,100.0,100.0,100.0,100.0,1.0
0182,200,50,100.0,100.0,100.0,100.0,1.0
0182,250,50,100.0,100.0,100.0,100.0,1.0
0182,300,50,100.0,100.0,100.0,100.0,1.0
0186,150,50,100.0,100.0,100.0,100.0,1.0
0186,200,50,100.0,100.0,100.0,100.0,1.0
0186,250,50,100.0,100.0,100.0,100.0,1.0
0186,300,50,100.0,100.0,100.0,100.0,1.0
0189,150,50,100.0,100.0,100.0,100.0,1.0
0189,200,50,100.0,100.0,100.0,100.0,1.0
0189,250,50,100.0,100.0,100.0,100.0,1.0
0189,300,50,98.0,100.0,100.0,99.0,1.02
0190,150,50,100.0,100.0,100.0,100.0,1.0
0190,200,50,100.0,100.0,100.0,100.0,1.0
0190,250,50,100.0,100.0,100.0,100.0,1.0
0190,300,50,100.0,100.0,100.0,100.0,1.0
0192,150,50,100.0,100.0,100.0,100.0,1.0
0192,200,50,100.0,100.0,100.0,100.0,1.0
0192,250,50,100.0,100.0,100.0,100.0,1.0
0192,300,50,100.0,100.0,100.0,100.0,1.0
0198,150,50,100.0,100.0,100.0,100.0,1.0
0198,200,50,100.0,100.0,100.0,100.0,1.0
0198,250,50,100.0,100.0,100.0,100.0,1.0
0198,300,50,100.0,100.0,100.0,100.0,1.0
