query_location_id,top1_location_id,confusion_count,mean_top1_score,mean_margin,maximum_positive_rank
0071,0058,200,0.84344016355,0.0,2
0007,0058,91,0.7614351163736264,0.0,5
0007,0008,56,0.6943988992857143,0.051325223299732145,5
0088,0152,17,0.7430657782352941,0.023337469411764705,2
0063,0056,14,0.7006697321428571,0.03980729864285714,2
0155,0144,12,0.79266512,0.060401578308333335,2
0151,0186,11,0.7213347454545455,0.06748185881818182,2
0057,0164,5,0.681365074,0.1131710043,3
0027,0140,4,0.72635021,0.0686530759,2
0169,0144,4,0.625035525,0.076157197225,5
0008,0198,3,0.7049435533333334,0.0511134279,2
0024,0057,3,0.57806648,0.03518440456666667,2
0169,0008,3,0.5713079233333334,0.03789679233333334,6
0002,0140,2,0.66918343,0.0271284875,2
0109,0155,2,0.66965425,0.0288704625,2
0140,0164,2,0.69422153,0.0666898175,2
0002,0164,1,0.69996244,0.047355473,2
0087,0088,1,0.767085,0.013074219,2
0130,0002,1,0.48004872,0.00078749657,2
0169,0007,1,0.67018175,0.03423071,3
0189,0192,1,0.7126145,0.009820282,2
