margin_threshold,accepted_query_count,ambiguous_query_count,coverage_percent,accepted_top1_accuracy_percent
0.001,7502,498,93.775,98.16049053585711
0.002,7497,503,93.7125,98.1859410430839
0.005,7482,518,93.525,98.27586206896551
0.01,7468,532,93.35,98.39314408141404
0.02,7423,577,92.7875,98.67977906506803
0.05,7263,737,90.7875,99.32534765248519
