group,nominal_height,query_count,location_count,recall_at_1_percent,recall_at_5_percent,recall_at_10_percent,mean_average_precision_percent,mean_positive_rank,median_positive_rank,p95_positive_rank,mean_top1_top2_margin,median_top1_top2_margin
overall,all,8000,40,94.575,99.9875,100.0,96.92541666666666,1.082125,1.0,2.0,0.2958928942680359,0.29789331555366516
height_150,150,2000,40,93.35,99.95,100.0,96.19,1.1025,1.0,2.0,0.28725555539131165,0.2926311194896698
height_200,200,2000,40,94.55,100.0,100.0,96.88916666666667,1.0825,1.0,2.0,0.3060366213321686,0.31602993607521057
height_250,250,2000,40,95.45,100.0,100.0,97.32916666666667,1.0775,1.0,1.0,0.3031556308269501,0.30194607377052307
height_300,300,2000,40,94.95,100.0,100.0,97.29333333333334,1.066,1.0,2.0,0.28712376952171326,0.27698349952697754
