nominal_height,query_count,top1_correct_count,mean_positive_rank,mean_margin,median_margin,top1_failure_count,recall_at_1_percent,failure_rate_percent
150,2000,1867,1.1025,0.287255561977335,0.29263110999999997,133,93.35,6.65
200,2000,1891,1.0825,0.30603662640115,0.31602994,109,94.55,5.45
250,2000,1909,1.0775,0.3031556286521625,0.30194607500000004,91,95.45,4.55
300,2000,1899,1.066,0.28712380191571996,0.2769835,101,94.95,5.05
