filename,relative_path,absolute_path,size_bytes,size_mb
second_D2S.mat,second_D2S.mat,/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,122974808,117.27791595458984
second_S2D.mat,second_S2D.mat,/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,165065104,157.41835021972656
