asset_name,asset_path,asset_sha256,provenance_label,evaluation_type,raw_image_inference,official_checkpoint_loaded,search_function,query_count,gallery_count,valid_query_count,queries_without_positive,descriptor_dimension,query_norm_mean,query_norm_std,gallery_norm_mean,gallery_norm_std,recall_at_1_percent,recall_at_5_percent,recall_at_10_percent,mean_average_precision_percent,median_first_positive_rank,p95_first_positive_rank,evaluation_seconds,mean_search_ms_per_query,timing_scope,top_k_ranking_csv
second_D2S.mat,/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_D2S.mat,8e3055e5feb84db90e73f47025745fa5bc71e9a709a8cd82d0cfd78dfab40d3c,PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,False,False,DIRECT_DOT_PRODUCT,37854,951,37854,0,768,1.0,1.4574651174825703e-07,1.0,1.4950281013170752e-07,93.9451577112062,98.01870343953082,98.56554129022032,95.82841923283013,1.0,2.0,5.192872811000143,0.1371816138585128,FEATURE_LOADING_EXCLUDED;DOT_PRODUCT_SORT_AND_METRICS_INCLUDED,/content/drive/MyDrive/mobilegeo_project/results/mobilegeo_audit/second_D2S_top10_rankings.csv
second_S2D.mat,/content/drive/MyDrive/mobilegeo_project/data/official_mobilegeo_precomputed_features/second_S2D.mat,4cdb17083cd7c6fdf5ca26c63cc24760c4618565a84ca04eb782282805c7c1ab,PUBLISHED_PRECOMPUTED_FEATURE_EVALUATION,FEATURE_SEARCH_ONLY,False,False,DIRECT_DOT_PRODUCT,701,51354,701,0,768,1.0,1.4834263595275843e-07,1.0,1.4607154241730314e-07,95.72039942938659,97.14693295292439,97.43223965763195,92.63492678390732,1.0,1.0,0.7721095169999899,1.1014401098430668,FEATURE_LOADING_EXCLUDED;DOT_PRODUCT_SORT_AND_METRICS_INCLUDED,/content/drive/MyDrive/mobilegeo_project/results/mobilegeo_audit/second_S2D_top10_rankings.csv
